trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
83	sun_aqrdtsxisrulfusj.jpg	592212.3967	592212.8684	592212.9472	592215.9663
84	sun_aryemauxglpckieh.jpg	592216.1831	592218.6548	592218.7185	592221.7377
85	sun_ahilhlihtltiiszr.jpg	592221.9545	592222.9348	592222.9720	592225.9911
86	sun_aiwjjxhtgtrwjdsf.jpg	592226.2080	592226.5687	592226.6417	592229.6608
87	sun_aclkmsuodfedolnj.jpg	592229.8776	592230.7607	592230.7784	592233.7975
88	sun_aiceqwbizyfbxjga.jpg	592234.0143	592234.3429	592234.3646	592237.3837
89	labelme_kxvouciolcpqplr.jpg	592237.6006	592238.2305	592238.2675	592241.2869
90	sun_agauzddnbwdarpbz.jpg	592241.5038	592243.6870	592243.7222	592246.7413
91	sun_amjiwsczphtrowfh.jpg	592246.9582	592248.4788	592248.4928	592251.5119
92	sun_arehvoriqhbnqssp.jpg	592251.7287	592252.2070	592252.2792	592255.2983
93	sun_aottaoasihbcshqd.jpg	592255.5151	592256.0864	592256.1323	592259.1514
94	sun_anlddfvefwvocyae.jpg	592259.3683	592259.6550	592259.7352	592262.7544
95	sun_apfmyjfgtjmwzvfb.jpg	592262.9712	592263.3747	592263.4216	592266.4407
96	sun_ahdoavtbmzlbpsyw.jpg	592266.6575	592266.8789	592266.9411	592269.9602
97	sun_abjtwfukuwddzted.jpg	592270.1771	592271.5264	592271.6116	592274.6307
98	sun_arhwdncltdednobr.jpg	592274.8475	592275.1429	592275.1811	592278.2003
99	sun_awnqiikzaispgmwo.jpg	592278.4171	592278.7906	592278.8174	592281.8366
100	sun_avcxsdrrfbrkydcp.jpg	592282.0534	592283.6385	592283.6881	592286.7072
101	sun_agxuuvqtddjgypyr.jpg	592298.1665	592299.3989	592299.4342	592302.4533
102	sun_ajyzthllrejcnemk.jpg	592302.6702	592302.9188	592302.9371	592305.9562
103	sun_acxkpeoqbwcxfvip.jpg	592306.1730	592306.6150	592306.7068	592309.7259
104	sun_afbibxsnpvkmvhxn.jpg	592309.9428	592310.6629	592310.7267	592313.7458
105	sun_anydqmweocgeuwol.jpg	592313.9627	592314.1909	592314.2129	592317.2320
106	sun_ajjktnfzwntvwsfh.jpg	592317.4489	592319.7126	592319.7341	592322.7532
107	sun_afsugeohwcfpkvgo.jpg	592322.9700	592323.9344	592323.9542	592326.9733
108	sun_algllabdmeofrowq.jpg	592327.1901	592327.9027	592327.9241	592330.9432
109	sun_attdviyipsljunts.jpg	592331.1600	592331.9989	592332.0441	592335.0632
110	sun_anaaondppjmietbw.jpg	592335.2800	592335.9829	592336.0140	592339.0331
111	sun_akcicdjszssqmkjl.jpg	592339.2499	592339.7027	592339.7837	592342.8028
112	sun_ansbufagozaoxmru.jpg	592343.0197	592343.4379	592343.4534	592346.4725
113	sun_agfbbeozqztznacq.jpg	592346.6893	592347.1217	592347.1397	592350.1588
114	sun_abruimnjlaxgqbze.jpg	592350.3757	592350.6928	592350.7259	592353.7450
115	sun_aknkhdxyjkyfjvgl.jpg	592353.9619	592354.2707	592354.3122	592357.3313
116	sun_aauyknaheebshrxq.jpg	592357.5482	592359.0150	592359.0660	592362.0852
117	sun_atnitteqxzjhgjfy.jpg	592362.3020	592362.9508	592363.0026	592366.0217
118	sun_aihqqhkbilvntzdn.jpg	592366.2386	592366.6949	592366.7223	592369.7414
119	sun_ajlfvmneqpseyguf.jpg	592369.9583	592370.5423	592370.5754	592373.5945
120	sun_akoozmcccyrpzqdd.jpg	592373.8114	592376.2468	592376.3134	592379.3325
121	sun_aqocausinnuaogit.jpg	592379.5494	592380.9428	592380.9839	592384.0030
122	sun_ajomvdpkryvawqyv.jpg	592384.2199	592384.8727	592384.9204	592387.9395
123	labelme_vvuttgvlwdydbkh.jpg	592388.1564	592388.6548	592388.7235	592391.7426
124	sun_arrmumgicgcoptbt.jpg	592391.9595	592392.4864	592392.5099	592395.5290
125	sun_apmpdqangkfvwrpn.jpg	592395.7459	592396.0149	592396.0461	592399.0652
126	sun_ainaeweeykjelyft.jpg	592399.2821	592399.5891	592399.6157	592402.6348
127	sun_apdxoksqpmpghypf.jpg	592402.8517	592403.3267	592403.3521	592406.3712
128	sun_anjplxxhrqpqpzlr.jpg	592406.5880	592407.2627	592407.2886	592410.3077
129	sun_abqihmfbiddwtcmz.jpg	592410.5246	592411.1347	592411.1584	592414.1775
130	sun_apynckhmoftszqoq.jpg	592414.3944	592415.0144	592415.0616	592418.0807
131	sun_ahvpoenucqfbjkep.jpg	592418.2976	592418.6148	592418.6479	592421.6670
132	sun_acdlgczjpwkeuvgy.jpg	592421.8838	592422.8708	592422.9180	592425.9371
133	sun_anjpziwkjniyzlkr.jpg	592426.1539	592426.8783	592426.9212	592429.9404
134	sun_ahmtwjhnkkalblbh.jpg	592430.1572	592430.9667	592430.9912	592434.0104
135	sun_amgkcbncvhsceeuq.jpg	592434.2272	592435.9348	592435.9619	592438.9811
136	sun_atcwuzwzjucraewh.jpg	592439.1979	592439.9747	592440.0319	592443.0510
137	sun_agrwbmhcpmfuwmsg.jpg	592443.2679	592445.1907	592445.2362	592448.2553
138	sun_aovnyfewezfmgwke.jpg	592448.4721	592449.2228	592449.2561	592452.2752
139	sun_azfvmsmpvphupjpu.jpg	592452.4920	592452.6787	592452.7422	592455.7614
140	sun_afscqnhvouixrplg.jpg	592455.9782	592456.3078	592456.3619	592459.3810
141	sun_axbqssteryzzlcop.jpg	592459.5978	592461.7746	592461.8163	592464.8354
142	labelme_snvevhpzwsruuja.jpg	592465.0523	592466.8704	592466.9371	592469.9563
143	sun_anjgzxqwccbiozsw.jpg	592470.1731	592470.5429	592470.5901	592473.6092
144	sun_asrcfjusjydonoin.jpg	592473.8261	592475.1983	592475.2272	592478.2463
145	sun_atgpcvhxgyoezzht.jpg	592478.4632	592480.7245	592480.7817	592483.8008
146	sun_ajxvejtymbkewxpy.jpg	592484.0177	592484.4229	592484.4514	592487.4705
147	sun_accreawivrzlvqyc.jpg	592487.6873	592488.1907	592488.2378	592491.2569
148	sun_aywpszwfywdmgrpv.jpg	592491.4738	592491.9268	592491.9908	592495.0100
149	sun_ajxqlzmoovksgjbl.jpg	592495.2268	592495.6866	592495.7105	592498.7297
150	sun_awhvlirgpcdffbsk.jpg	592498.9465	592499.2708	592499.3135	592502.3326
