trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
183	sun_aqrpegblszgcoujh.jpg	1500531.8515	1500532.6110	1500532.6184	1500535.6177
184	sun_axouwjxmvidopcvg.jpg	1500535.8264	1500536.5229	1500536.5347	1500539.5348
185	sun_afmsnwrincaowafk.jpg	1500539.7431	1500540.3471	1500540.3597	1500543.3597
186	sun_axuvsdqqnoevzlud.jpg	1500543.5682	1500547.2747	1500547.2852	1500550.2847
187	sun_ajieuepqwqsumwkj.jpg	1500550.4931	1500551.8542	1500551.8598	1500554.8598
188	sun_aobyfgpmnvnnuolx.jpg	1500555.0681	1500555.5629	1500555.5768	1500558.5766
189	sun_atgzwnczaxwddrai.jpg	1500558.7847	1500561.1544	1500561.1609	1500564.1681
190	sun_anbqoyitlozwisvu.jpg	1500564.3765	1500565.3547	1500565.3591	1500568.3598
191	labelme_iocgjwcthdvttcs.jpg	1500568.5692	1500569.3124	1500569.3269	1500572.3264
192	sun_anryxjxdjnraelom.jpg	1500572.5348	1500573.2270	1500573.2350	1500576.2349
193	sun_acduarbnmmoglmiv.jpg	1500576.4433	1500578.1707	1500578.1759	1500581.1765
194	sun_ambrwzywvjncguna.jpg	1500581.3848	1500582.1793	1500582.1936	1500585.1933
195	sun_alxnnlzdudyhqwig.jpg	1500585.4015	1500586.0509	1500586.0602	1500589.0598
196	sun_awaeoxdssornxdzd.jpg	1500589.2683	1500590.2552	1500590.2682	1500593.2681
197	sun_ahixopvqokygrcgy.jpg	1500593.4765	1500594.0743	1500594.0848	1500597.0849
198	sun_acpufsxakyzrtcti.jpg	1500597.2932	1500597.9631	1500597.9770	1500600.9766
199	sun_aavhrsfjbserjtht.jpg	1500601.1848	1500602.1951	1500602.2016	1500605.2016
200	sun_aailohlxppyetonl.jpg	1500605.4099	1500605.9718	1500605.9849	1500608.9849
201	sun_aaslbwtcdcwjukuo.jpg	1500623.6433	1500625.9948	1500626.0016	1500629.0017
202	sun_atkzwhcuawuauxxx.jpg	1500629.2100	1500629.6827	1500629.6933	1500632.6933
203	sun_acnxqvumxuhphsox.jpg	1500632.9017	1500633.4626	1500633.4691	1500636.4767
204	sun_avktgzzhmpgvaxkk.jpg	1500636.6850	1500637.4563	1500637.4684	1500640.4684
205	sun_azkonpsbldzbkqim.jpg	1500640.6766	1500640.8269	1500640.8351	1500643.8351
206	sun_amkzdhjzeppbseut.jpg	1500644.0433	1500644.9148	1500644.9266	1500647.9267
207	sun_ahjhgfuccyykgcqk.jpg	1500648.1350	1500650.5563	1500650.5683	1500653.5684
208	sun_abgovsbwwyozjdzp.jpg	1500653.7768	1500657.7946	1500657.8017	1500660.8018
209	sun_awqncsdprzjtqkum.jpg	1500661.0101	1500663.6150	1500663.6268	1500666.6268
210	sun_adoqbnxbotablpwl.jpg	1500666.8350	1500677.6349	1500677.6435	1500680.6434
211	sun_aawefvrbscajixha.jpg	1500680.8518	1500682.2822	1500682.2934	1500685.2935
212	sun_acfmftudsenhrfhy.jpg	1500685.5018	1500687.9149	1500687.9268	1500690.9268
213	sun_aqwqdcouifhpnenx.jpg	1500691.1351	1500693.0652	1500693.0768	1500696.0768
214	sun_azckywjqzicxsgez.jpg	1500696.2852	1500698.4747	1500698.4851	1500701.4851
215	sun_awlmntruykfbsame.jpg	1500701.6935	1500703.0061	1500703.0185	1500706.0185
216	sun_avsajiwmqfxawdbz.jpg	1500706.2269	1500707.4345	1500707.4435	1500710.4436
217	sun_asppapsiuwmrsopu.jpg	1500710.6518	1500712.0821	1500712.0936	1500715.0935
218	sun_alyergctkjrpiwgr.jpg	1500715.3019	1500717.2995	1500717.3106	1500720.3102
219	sun_aaurzltrbxfksuhz.jpg	1500720.5185	1500721.8497	1500721.8602	1500724.8603
