trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
42	sun_acduarbnmmoglmiv.jpg	3920264.7268	3920265.5133	3920265.5270	3920268.5267
43	sun_acfmftudsenhrfhy.jpg	3920268.7351	3920273.4524	3920273.4684	3920276.4684
44	sun_acjcdbqhletirjdl.jpg	3920276.6767	3920282.8203	3920282.8351	3920285.8350
45	sun_aclkmsuodfedolnj.jpg	3920286.0435	3920287.9162	3920287.9354	3920290.9352
46	sun_acnxqvumxuhphsox.jpg	3920291.1435	3920293.3563	3920293.3684	3920296.3685
47	sun_acpufsxakyzrtcti.jpg	3920296.5768	3920297.4445	3920297.4601	3920300.4601
48	sun_acrnjwraljsrcesa.jpg	3920300.6685	3920301.9324	3920301.9521	3920304.9519
49	sun_acselzrpurxmucxu.jpg	3920305.1602	3920306.1729	3920306.1852	3920309.1853
50	sun_acsgbuurtwghzjel.jpg	3920309.3936	3920310.1564	3920310.1685	3920313.1687
51	sun_acwjdupvyjsugpay.jpg	3920313.3769	3920313.6474	3920313.6605	3920316.6602
52	sun_acxkpeoqbwcxfvip.jpg	3920316.8685	3920317.2204	3920317.2352	3920320.2352
53	sun_aczamediblpgqmwt.jpg	3920320.4436	3920320.8604	3920320.8770	3920323.8770
54	sun_acznlxcgnetogsai.jpg	3920324.0853	3920324.6841	3920324.7022	3920327.7019
55	sun_adbqksnwuqqwdpxc.jpg	3920327.9102	3920500.4363	3920500.4527	3920503.4528
56	sun_adcrxklhlbwrbkgm.jpg	3920503.6611	3920506.1484	3920506.1610	3920509.1611
57	sun_admyjjnxxddpqaud.jpg	3920509.3694	3920515.2043	3920515.2197	3920518.2195
58	sun_adoqbnxbotablpwl.jpg	3920518.4279	3920521.6042	3920521.6195	3920524.6196
59	sun_aelpnoofufvvqqhf.jpg	3920524.8279	3920526.9323	3920526.9446	3920529.9446
60	sun_aemhfvjhjlqeigto.jpg	3920530.1529	3920534.8123	3920534.8282	3920537.8279
61	sun_aenotlpyftoioydp.jpg	3920538.0364	3920538.8761	3920538.8946	3920541.8946
62	sun_aepbpufpcgbxxcdd.jpg	3920542.1030	3920542.7963	3920542.8113	3920545.8113
63	sun_aepdfzurhsaporkg.jpg	3920546.0198	3920546.5640	3920546.5783	3920549.5781
64	sun_aepvxmukjcxphfiy.jpg	3920549.7864	3920550.1563	3920550.1697	3920553.1696
65	sun_aeqdtdmvphproomc.jpg	3920553.3780	3921043.4281	3921043.4469	3921046.4469
66	sun_aevezokbkeojznwq.jpg	3921046.6553	3921047.5157	3921047.5306	3921050.5303
67	sun_aewpzjfotcutxost.jpg	3921050.7387	3921051.0166	3921051.0303	3921054.0302
68	sun_aexxtzchsriqptwg.jpg	3921054.2386	3921058.2082	3921058.2220	3921061.2220
69	sun_aezuhrkzpxgayaoe.jpg	3921061.4304	3921062.2440	3921062.2639	3921065.2637
70	sun_afbibxsnpvkmvhxn.jpg	3921065.4720	3921066.0121	3921066.0304	3921069.0303
71	sun_afkjkqlhqnwftaam.jpg	3921069.2386	3921070.4836	3921070.4970	3921073.4970
72	sun_afmgqyvomuhprelx.jpg	3921073.7054	3921074.2361	3921074.2556	3921077.2554
73	sun_afmsnwrincaowafk.jpg	3921077.4638	3921081.6090	3921081.6221	3921084.6221
74	sun_afscqnhvouixrplg.jpg	3921084.8305	3921194.0837	3921194.0976	3921197.0976
75	sun_afsugeohwcfpkvgo.jpg	3921197.3060	3921231.2521	3921231.2648	3921234.2644
76	sun_afuskngoumwbljpz.jpg	3921234.4727	3921237.8120	3921237.8312	3921240.8311
77	sun_afutksgwyoqttegy.jpg	3921241.0396	3921241.9298	3921241.9478	3921244.9478
78	sun_afvkcxzohlpzliti.jpg	3921245.1562	3921246.7320	3921246.7481	3921249.7478
79	sun_afznskzeyysxrlqg.jpg	3921249.9562	3921251.1880	3921251.2062	3921254.2062
80	sun_agauzddnbwdarpbz.jpg	3921254.4145	3921254.9476	3921254.9645	3921257.9645
81	sun_agctjiqflyqiupzx.jpg	3921258.1728	3921259.7319	3921259.7481	3921262.7479
82	sun_ageomnacdflnblsi.jpg	3921262.9563	3921265.7480	3921265.7646	3921268.7645
83	sun_agfbbeozqztznacq.jpg	3921268.9730	3921269.3797	3921269.3980	3921272.3980
84	sun_agguqiubmwhqqunb.jpg	3921272.6063	3921274.5157	3921274.5316	3921277.5313
85	sun_agldadusrezhmyva.jpg	3921277.7396	3921280.4279	3921280.4397	3921283.4396
86	sun_aglpqkbwvbofhrgt.jpg	3921283.6479	3921284.3079	3921284.3231	3921287.3230
87	sun_aglwoufpxbtxqecp.jpg	3921287.5313	3921288.3557	3921288.3733	3921291.3732
88	sun_agqborhpkvvwbvfl.jpg	3921291.5815	3921292.5876	3921292.6063	3921295.6064
89	sun_agqfelptwqubavme.jpg	3921295.8147	3921297.7237	3921297.7398	3921300.7397
90	sun_agrhekhltqnhqoau.jpg	3921300.9481	3921301.3240	3921301.3400	3921304.3397
91	sun_agrkvwbkgrglcoga.jpg	3921304.5481	3921304.9879	3921305.0065	3921308.0065
92	sun_agrwbmhcpmfuwmsg.jpg	3921308.2148	3921308.7959	3921308.8148	3921311.8148
93	sun_agtnmpgkrgkzbvjw.jpg	3921312.0232	3921312.5317	3921312.5484	3921315.5482
94	sun_agxuuvqtddjgypyr.jpg	3921315.7566	3921360.6199	3921360.6317	3921363.6317
95	sun_agztutxlbisetcoy.jpg	3921363.8400	3921364.5876	3921364.6067	3921367.6067
96	sun_ahbhthuvbhsokcnl.jpg	3921367.8151	3921368.2996	3921368.3153	3921371.3152
97	sun_ahdoavtbmzlbpsyw.jpg	3921371.5235	3921371.8759	3921371.8901	3921374.8901
98	sun_ahdycvpopffkzzsu.jpg	3921375.0984	3921375.3158	3921375.3317	3921378.3318
99	sun_aheymxjdkejwbehi.jpg	3921378.5401	3921378.9479	3921378.9654	3921381.9651
100	sun_ahijqszoswveeyji.jpg	3921382.1735	3921382.6038	3921382.6234	3921385.6235
