trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
119	sun_ajlfvmneqpseyguf.jpg	1394054.2076	1394054.5433	1394054.5539	1394057.5515
120	sun_akoozmcccyrpzqdd.jpg	1394057.7572	1394057.9829	1394057.9905	1394060.9883
121	sun_aqocausinnuaogit.jpg	1394061.1940	1394061.4469	1394061.4603	1394064.4579
122	sun_ajomvdpkryvawqyv.jpg	1394064.6660	1394065.2149	1394065.2236	1394068.2216
123	labelme_vvuttgvlwdydbkh.jpg	1394068.4310	1394068.8391	1394068.8513	1394071.8493
124	sun_arrmumgicgcoptbt.jpg	1394072.0560	1394072.3029	1394072.3111	1394075.3093
125	sun_apmpdqangkfvwrpn.jpg	1394075.5196	1394075.7775	1394075.7883	1394078.7862
126	sun_ainaeweeykjelyft.jpg	1394078.9927	1394079.3266	1394079.3333	1394082.3314
127	sun_apdxoksqpmpghypf.jpg	1394082.5372	1394082.9032	1394082.9126	1394085.9105
128	sun_anjplxxhrqpqpzlr.jpg	1394086.1188	1394086.2867	1394086.2985	1394089.2963
129	sun_abqihmfbiddwtcmz.jpg	1394089.5025	1394089.7854	1394089.7918	1394092.7900
130	sun_apynckhmoftszqoq.jpg	1394092.9959	1394093.2708	1394093.2788	1394096.2770
131	sun_ahvpoenucqfbjkep.jpg	1394096.4885	1394096.6468	1394096.6571	1394099.6551
132	sun_acdlgczjpwkeuvgy.jpg	1394099.8612	1394100.0231	1394100.0296	1394103.0270
133	sun_anjpziwkjniyzlkr.jpg	1394103.2333	1394103.6545	1394103.6631	1394106.6611
134	sun_ahmtwjhnkkalblbh.jpg	1394106.8695	1394107.2951	1394107.3019	1394110.2995
135	sun_amgkcbncvhsceeuq.jpg	1394110.5060	1394111.0788	1394111.0855	1394114.0834
136	sun_atcwuzwzjucraewh.jpg	1394114.2897	1394114.6552	1394114.6637	1394117.6618
137	sun_agrwbmhcpmfuwmsg.jpg	1394117.8713	1394119.5199	1394119.5265	1394122.5245
138	sun_aovnyfewezfmgwke.jpg	1394122.7302	1394122.8951	1394122.9017	1394125.9001
139	sun_azfvmsmpvphupjpu.jpg	1394126.1102	1394126.2468	1394126.2552	1394129.2533
140	sun_afscqnhvouixrplg.jpg	1394129.4654	1394130.0549	1394130.0655	1394133.0633
141	sun_axbqssteryzzlcop.jpg	1394133.2690	1394133.7589	1394133.7705	1394136.7683
142	labelme_snvevhpzwsruuja.jpg	1394136.9740	1394137.5670	1394137.5756	1394140.5733
143	sun_anjgzxqwccbiozsw.jpg	1394140.7813	1394141.2470	1394141.2576	1394144.2551
144	sun_asrcfjusjydonoin.jpg	1394144.4610	1394145.0206	1394145.0282	1394148.0261
145	sun_atgpcvhxgyoezzht.jpg	1394148.2318	1394149.1291	1394149.1373	1394152.1346
146	sun_ajxvejtymbkewxpy.jpg	1394152.3426	1394155.5828	1394155.5897	1394158.5876
147	sun_accreawivrzlvqyc.jpg	1394158.7935	1394160.3442	1394160.3544	1394163.3515
148	sun_aywpszwfywdmgrpv.jpg	1394163.5595	1394165.3188	1394165.3298	1394168.3276
149	sun_ajxqlzmoovksgjbl.jpg	1394168.5353	1394170.4869	1394170.4974	1394173.4944
150	sun_awhvlirgpcdffbsk.jpg	1394173.7012	1394174.0710	1394174.0775	1394177.0757
151	sun_acsgbuurtwghzjel.jpg	1394177.2855	1394177.4950	1394177.5057	1394180.5035
152	sun_awyjssnluvfxtfwf.jpg	1394180.7119	1394180.8948	1394180.9051	1394183.9019
153	sun_azdnupmzwdxwflvh.jpg	1394184.1095	1394184.9748	1394184.9815	1394187.9793
154	sun_admyjjnxxddpqaud.jpg	1394188.1859	1394188.5988	1394188.6069	1394191.6047
155	sun_arvuykssgbdzaavk.jpg	1394191.8148	1394193.6944	1394193.7014	1394196.6991
156	sun_anmlnygclbxbrdbw.jpg	1394196.9059	1394197.2868	1394197.2934	1394200.2908
157	sun_anneoguowdhugwoy.jpg	1394200.4974	1394200.7189	1394200.7269	1394203.7245
158	sun_ajkawyunawdxfxob.jpg	1394203.9321	1394204.6882	1394204.6951	1394207.6928
159	sun_atfmueokdeplnsdy.jpg	1394207.8993	1394208.4067	1394208.4136	1394211.4113
160	sun_azwwluglgwfhhwee.jpg	1394211.6181	1394212.1971	1394212.2053	1394215.2026
161	sun_ahdycvpopffkzzsu.jpg	1394215.4107	1394217.5667	1394217.5735	1394220.5714
162	sun_aglwoufpxbtxqecp.jpg	1394220.7776	1394221.5906	1394221.5972	1394224.5946
163	sun_anuwqvomituqoawj.jpg	1394224.8007	1394225.2306	1394225.2433	1394228.2411
164	sun_ahqykyyouxkgmdnq.jpg	1394228.4495	1394228.7826	1394228.7892	1394231.7875
165	sun_ateowiyyxtlctxnj.jpg	1394231.9968	1394232.6558	1394232.6663	1394235.6638
166	labelme_maitcyodsfflkgk.jpg	1394235.8704	1394240.2866	1394240.2952	1394243.2928
167	sun_amhdrfkpqmptmlvl.jpg	1394243.5005	1394244.4231	1394244.4298	1394247.4271
168	sun_aenotlpyftoioydp.jpg	1394247.6332	1394248.7507	1394248.7614	1394251.7582
169	sun_afvkcxzohlpzliti.jpg	1394251.9654	1394252.6385	1394252.6496	1394255.6473
170	sun_ajawyzbcsphfnsgb.jpg	1394255.8549	1394256.6788	1394256.6861	1394259.6840
171	sun_aobtqmsjotgsxppu.jpg	1394259.8906	1394260.8306	1394260.8392	1394263.8371
172	sun_agguqiubmwhqqunb.jpg	1394264.0434	1394264.5424	1394264.5510	1394267.5492
173	sun_agrkvwbkgrglcoga.jpg	1394267.7584	1394268.2467	1394268.2535	1394271.2518
174	sun_alaftnkvuoaxsizt.jpg	1394271.4576	1394272.3027	1394272.3134	1394275.3104
175	sun_aydxycepjgosoubm.jpg	1394275.5178	1394275.9106	1394275.9202	1394278.9180
176	sun_asuudekbluwjwevp.jpg	1394279.1256	1394279.6565	1394279.6631	1394282.6613
177	sun_ajaqajwbqkwfvnef.jpg	1394282.8676	1394283.2888	1394283.2956	1394286.2928
178	sun_afutksgwyoqttegy.jpg	1394286.4987	1394290.6142	1394290.6226	1394293.6207
179	sun_aczamediblpgqmwt.jpg	1394293.8301	1394296.1509	1394296.1574	1394299.1550
180	sun_aomzbprctpzqwjzj.jpg	1394299.3617	1394299.8302	1394299.8379	1394302.8356
181	sun_aqqabpdqjxygueuw.jpg	1394303.0421	1394303.4063	1394303.4145	1394306.4124
182	sun_ahijqszoswveeyji.jpg	1394306.6199	1394307.0628	1394307.0695	1394310.0677
183	sun_aqrpegblszgcoujh.jpg	1394310.2763	1394314.4243	1394314.4328	1394317.4306
184	sun_axouwjxmvidopcvg.jpg	1394317.6363	1394318.0077	1394318.0201	1394321.0178
185	sun_afmsnwrincaowafk.jpg	1394321.2262	1394321.5583	1394321.5652	1394324.5632
