Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-025_task-EyeTracking_physio	6	-2852.250	-1643.893	1208.357	1285.810	665.315	0.087	0.061	0.247	0.678
sub-025_task-EyeTracking_physio	6	-1635.559	222.810	1858.369	1279.695	698.230	0.214	0.271	0.586	1.851
sub-025_task-EyeTracking_physio	6	247.810	381.143	133.333	1534.068	761.080	0.347	0.353	0.762	0.938
sub-025_task-EyeTracking_physio	6	589.479	764.482	175.003	1492.215	750.615	0.117	0.075	0.235	0.578
sub-025_task-EyeTracking_physio	6	964.486	1289.491	325.005	1624.105	759.310	0.139	0.144	0.441	0.833
sub-025_task-EyeTracking_physio	6	1322.824	1564.499	241.675	1280.545	844.230	0.206	0.093	0.414	0.859
sub-025_task-EyeTracking_physio	6	1606.165	1964.503	358.338	1197.900	590.560	0.085	0.048	0.212	0.541
sub-025_task-EyeTracking_physio	6	2014.503	2272.843	258.340	1665.105	635.625	0.106	0.074	0.269	0.494
sub-025_task-EyeTracking_physio	6	2297.845	2589.518	291.673	1655.355	696.045	0.133	0.052	0.315	0.570
sub-025_task-EyeTracking_physio	6	2614.517	2856.192	241.675	1640.810	720.950	0.101	0.025	0.186	0.298
sub-025_task-EyeTracking_physio	6	2897.857	3006.195	108.338	1390.765	732.510	0.101	0.033	0.277	0.194
sub-025_task-EyeTracking_physio	7	-2593.817	-2227.141	366.676	1299.185	695.405	0.105	0.034	0.211	0.431
sub-025_task-EyeTracking_physio	7	-2210.476	-1068.787	1141.689	1277.795	680.525	0.233	0.190	0.491	1.777
sub-025_task-EyeTracking_physio	7	-1043.787	272.908	1316.695	1283.110	713.395	0.228	0.138	0.386	1.194
sub-025_task-EyeTracking_physio	7	531.251	847.919	316.668	1225.317	809.215	0.258	0.132	0.307	1.137
sub-025_task-EyeTracking_physio	7	872.922	1097.926	225.004	1427.110	816.790	0.265	0.104	0.254	1.009
sub-025_task-EyeTracking_physio	7	1122.925	1456.266	333.341	1457.170	931.245	0.200	0.157	0.508	1.000
sub-025_task-EyeTracking_physio	7	1497.932	1731.272	233.340	1493.430	922.803	0.186	0.083	0.248	0.646
sub-025_task-EyeTracking_physio	7	1764.605	2256.281	491.676	1460.005	668.060	0.227	0.200	0.830	0.857
sub-025_task-EyeTracking_physio	7	2447.958	2747.958	300.000	1182.940	860.493	0.179	0.060	0.309	0.579
sub-025_task-EyeTracking_physio	7	2764.625	3006.304	241.679	1280.460	751.135	0.302	0.141	0.327	0.813
sub-025_task-EyeTracking_physio	8	-2693.688	-2552.018	141.670	1282.880	757.045	0.230	0.060	0.192	0.564
sub-025_task-EyeTracking_physio	8	-2535.347	-1726.996	808.351	1282.090	665.465	0.154	0.075	0.309	0.760
sub-025_task-EyeTracking_physio	8	-1701.999	-860.315	841.684	1266.465	693.220	0.150	0.075	0.444	0.608
sub-025_task-EyeTracking_physio	8	-851.982	-476.973	375.009	1292.620	689.920	0.208	0.073	0.276	0.876
sub-025_task-EyeTracking_physio	8	-460.307	198.040	658.347	1270.895	717.180	0.130	0.055	0.212	0.658
sub-025_task-EyeTracking_physio	8	231.379	448.046	216.667	1335.960	752.767	0.195	0.144	0.340	0.901
sub-025_task-EyeTracking_physio	8	464.712	806.387	341.675	1506.165	733.310	0.173	0.077	0.324	0.586
sub-025_task-EyeTracking_physio	8	1064.726	1564.737	500.011	1075.928	698.825	0.139	0.111	0.422	0.834
sub-025_task-EyeTracking_physio	8	1581.403	1864.744	283.341	1079.565	763.920	0.154	0.057	0.256	0.570
sub-025_task-EyeTracking_physio	8	1889.744	2148.082	258.338	1023.060	770.160	0.193	0.056	0.274	0.568
sub-025_task-EyeTracking_physio	8	2173.088	2314.760	141.672	1058.335	780.380	0.089	0.035	0.199	0.394
sub-025_task-EyeTracking_physio	8	2331.426	2698.097	366.671	1055.405	673.872	0.173	0.057	0.202	0.736
sub-025_task-EyeTracking_physio	8	2714.762	3006.432	291.670	1079.395	802.800	0.201	0.090	0.408	0.632
sub-025_task-EyeTracking_physio	9	-1918.608	-1551.930	366.678	1289.690	681.830	0.312	2.320	2.053	3.508
sub-025_task-EyeTracking_physio	9	-1526.930	-1268.589	258.341	1255.050	657.930	0.074	0.011	0.131	0.187
sub-025_task-EyeTracking_physio	9	-1251.919	-935.249	316.670	1288.060	645.105	0.110	0.064	0.361	0.415
sub-025_task-EyeTracking_physio	9	-926.916	-393.570	533.346	1269.385	686.422	0.244	0.432	0.700	2.167
sub-025_task-EyeTracking_physio	9	-376.904	289.772	666.676	1288.993	697.357	0.189	0.086	0.347	0.885
sub-025_task-EyeTracking_physio	9	306.439	423.108	116.669	1342.425	722.538	0.136	0.029	0.281	0.237
sub-025_task-EyeTracking_physio	9	464.779	673.115	208.336	1275.395	515.870	0.090	0.025	0.255	0.195
sub-025_task-EyeTracking_physio	9	698.114	1039.789	341.675	1033.145	500.980	0.097	0.034	0.296	0.281
