Var1,Var2,Var3,Var4,Var5,Var6
sun_anaaondppjmietbw.jpg,sun_apeeialkgkuxddgh.jpg,left,left,1,bahtroom
sun_ajomvdpkryvawqyv.jpg,sun_axoxclwbjtankfvv.jpg,left,right,0,kitchen
sun_ayfwodsvoatztibh.jpg,sun_artaayntidcufyqj.jpg,left,left,1,bahtroom
sun_agqfelptwqubavme.jpg,sun_anltpptcpfdrhlks.jpg,right,left,0,bahtroom
sun_adoqbnxbotablpwl.jpg,sun_azupudlsexguycsg.jpg,left,right,0,kitchen
labelme_aqzpndrsppatraq.jpg,sun_adwvsndpdsgzeste.jpg,right,left,0,bahtroom
sun_akjkxldecwnanoah.jpg,sun_accobobcpaqpweja.jpg,left,left,1,bahtroom
labelme_rwwtgnnqniabmbw.jpg,sun_aclxihxinvcqwpqb.jpg,right,left,0,bahtroom
sun_awmotvrngkanplxe.jpg,sun_azmxhfvqwtezkhky.jpg,left,left,1,kitchen
sun_anjplxxhrqpqpzlr.jpg,sun_ayibahoilqtmcnog.jpg,left,right,0,kitchen
sun_aaznyvntjefttmaz.jpg,sun_anataziqnxpfsdpx.jpg,left,right,0,bahtroom
sun_aprmzdnceosyiiqx.jpg,sun_auyiqnjooapfftxc.jpg,left,right,0,bahtroom
sun_apmpdqangkfvwrpn.jpg,sun_azdnupmzwdxwflvh_Image_44.jpg,right,right,1,kitchen
sun_aenotlpyftoioydp.jpg,sun_awcpdzzznmweyyhv.jpg,right,right,1,kitchen
sun_anuwqvomituqoawj.jpg,labelme_jxmlyqwioqvlbuu.jpg,left,right,0,bahtroom
sun_aelpnoofufvvqqhf.jpg,sun_ahrwldmgnrivpora.jpg,right,left,0,kitchen
sun_aglwoufpxbtxqecp.jpg,sun_aalrsaxeqqthtwnd.jpg,left,right,0,kitchen
labelme_vvuttgvlwdydbkh.jpg,sun_adtcisttpyqtaiht.jpg,right,right,1,bahtroom
sun_aqocausinnuaogit.jpg,sun_aurpxuplabfqdwdo.jpg,right,right,1,bahtroom
sun_aizrxrylbrdfhxez.jpg,sun_auegcfeaxvcxqfvy.jpg,right,left,0,kitchen
sun_anbwfxayngoytjhx.jpg,sun_axkxwlbatrhoxrsg.jpg,left,left,1,kitchen
sun_ajcbalthjpmuyygk.jpg,sun_awwsahpstphbexsu.jpg,left,left,1,bahtroom
sun_asrcfjusjydonoin.jpg,sun_avgavmxqjvtwbqfp.jpg,right,right,1,kitchen
sun_angvzhbidnxzubxm.jpg,labelme_sfxiulhjbhlyiyt.jpg,left,left,1,bahtroom
sun_aheymxjdkejwbehi.jpg,sun_aggjlwcdjsjcaemh.jpg,right,right,1,kitchen
sun_algllabdmeofrowq.jpg,sun_amfzhbvtrslclwdb.jpg,right,left,0,bahtroom
labelme_albwvmqgrgwlxxx.jpg,sun_acsximawktgupevi.jpg,right,right,1,bahtroom
sun_akwygwqxkobglwvv.jpg,sun_abftihopvusyfakt.jpg,right,right,1,kitchen
sun_axnnsaaqniecbwhm.jpg,sun_anfihbnuoxesjayz.jpg,right,left,0,bahtroom
sun_asuudekbluwjwevp.jpg,sun_aaqmdzcszfhfovbh.jpg,right,right,1,bahtroom
sun_aauyknaheebshrxq.jpg,sun_aveufkcvojpcdova.jpg,left,right,0,kitchen
sun_anbqoyitlozwisvu.jpg,sun_avwpumqbuegvqqbu.jpg,right,right,1,kitchen
sun_azbjiqtpgvxjjuzr.jpg,sun_achyjnztuqvhezkt.jpg,left,right,0,bahtroom
sun_axvbhkthyolfaqez.jpg,sun_acbgmwnsrgzxmxmp.jpg,left,right,0,bahtroom
sun_aiksqkpgryhzwevk.jpg,labelme_iwnmlikkpckxnxe.jpg,left,right,0,bahtroom
sun_acnxqvumxuhphsox.jpg,sun_aargqoyvvsvylmht.jpg,left,right,0,kitchen
sun_acznlxcgnetogsai.jpg,sun_avuzlcqxzrzteyvc.jpg,left,right,0,kitchen
sun_aqyyqhbfyinaxiuf.jpg,sun_atstyziqcmkahyxk.jpg,left,left,1,bahtroom
sun_arehvoriqhbnqssp.jpg,sun_aafpallawmjtlxbq.jpg,left,left,1,bahtroom
